YEAR,STRATUM,AOU,SPECIES,POP
1968,46,1370,American wigeon,0
1968,46,1390,Green-winged teal,4727
1968,46,1400,Blue-winged teal,316988
1968,46,1420,Northern shoveler,66038
1968,46,1430,Northern pintail,61070
1968,46,1460,Redhead,33165
1968,46,1470,Canvasback,5829
1968,46,1499,Generic scaup,7633
1968,46,1500,Ring-necked duck,0
1968,46,1519,Generic goldeneye,0
1968,46,1530,Bufflehead,0
1968,46,1670,Ruddy duck,12666
1968,46,1720,Canada goose,0
1968,46,2210,American coot,57094
1968,46,9991,Pond,148146
1969,45,1320,Mallard,241448
1969,45,1350,Gadwall,191496
1969,45,1370,American wigeon,18734
1969,45,1390,Green-winged teal,48317
1969,45,1400,Blue-winged teal,484734
1969,45,1420,Northern shoveler,183476
1969,45,1430,Northern pintail,441204
1969,45,1460,Redhead,87639
1969,45,1470,Canvasback,37912
1969,45,1499,Generic scaup,20687
1969,45,1500,Ring-necked duck,584
1969,45,1519,Generic goldeneye,0
1969,45,1530,Bufflehead,0
1969,45,1670,Ruddy duck,17735
1969,45,1720,Canada goose,0
1969,45,2210,American coot,65734
1969,45,9991,Pond,387920
1969,46,1320,Mallard,114406
1969,46,1350,Gadwall,116964
1969,46,1370,American wigeon,4574
1969,46,1390,Green-winged teal,17220
1969,46,1400,Blue-winged teal,333460
1969,46,1420,Northern shoveler,73133
1969,46,1430,Northern pintail,195357
1969,46,1460,Redhead,86917
1969,46,1470,Canvasback,18215
1969,46,1499,Generic scaup,12871
1969,46,1500,Ring-necked duck,0
1969,46,1519,Generic goldeneye,0
1969,46,1530,Bufflehead,0
1969,46,1670,Ruddy duck,25684
1969,46,1720,Canada goose,0
1969,46,2210,American coot,56322
1969,46,9991,Pond,202062
1970,45,1320,Mallard,507743
1970,45,1350,Gadwall,250079
1970,45,1370,American wigeon,15327
1970,45,1390,Green-winged teal,84006
1970,45,1400,Blue-winged teal,470677
1970,45,1420,Northern shoveler,329766
1970,45,1430,Northern pintail,560269
1970,45,1460,Redhead,85639
1970,45,1470,Canvasback,15571
1970,45,1499,Generic scaup,14846
1970,45,1500,Ring-necked duck,876
1970,45,1519,Generic goldeneye,0
1970,45,1530,Bufflehead,494
1970,45,1670,Ruddy duck,77807
1970,45,1720,Canada goose,0
1970,45,2210,American coot,105850
1970,45,9991,Pond,563946
1970,46,1320,Mallard,129192
1970,46,1350,Gadwall,110928
1970,46,1370,American wigeon,2018
1970,46,1390,Green-winged teal,41892
1970,46,1400,Blue-winged teal,174317
1970,46,1420,Northern shoveler,77223
1970,46,1430,Northern pintail,145234
1970,46,1460,Redhead,67840
1970,46,1470,Canvasback,8468
1970,46,1499,Generic scaup,10198
1970,46,1500,Ring-necked duck,731
1970,46,1519,Generic goldeneye,0
1970,46,1530,Bufflehead,309
1970,46,1670,Ruddy duck,8229
1970,46,1720,Canada goose,0
1970,46,2210,American coot,50331
1970,46,9991,Pond,181716
1971,45,1320,Mallard,573648
1971,45,1350,Gadwall,243980
1971,45,1370,American wigeon,15521
1971,45,1390,Green-winged teal,16472
1971,45,1400,Blue-winged teal,873099
1971,45,1420,Northern shoveler,152040
1971,45,1430,Northern pintail,569385
1971,45,1460,Redhead,81576
1971,45,1470,Canvasback,11171
1971,45,1499,Generic scaup,17279
1971,45,1500,Ring-necked duck,876
1971,45,1519,Generic goldeneye,0
1971,45,1530,Bufflehead,0
1971,45,1670,Ruddy duck,29750
1971,45,1720,Canada goose,0
1971,45,2210,American coot,112181
1971,45,9991,Pond,437183
1971,46,1320,Mallard,110823
1971,46,1350,Gadwall,104469
1971,46,1370,American wigeon,1497
1971,46,1390,Green-winged teal,5403
1971,46,1400,Blue-winged teal,281117
1971,46,1420,Northern shoveler,38524
1971,46,1430,Northern pintail,80529
1971,46,1460,Redhead,41426
1971,46,1470,Canvasback,3539
1971,46,1499,Generic scaup,10626
1971,46,1500,Ring-necked duck,180
1971,46,1519,Generic goldeneye,0
1971,46,1530,Bufflehead,0
1971,46,1670,Ruddy duck,17240
1971,46,1720,Canada goose,0
1971,46,2210,American coot,27416
1971,46,9991,Pond,104590
1972,45,1320,Mallard,431991
1972,45,1350,Gadwall,227801
1972,45,1370,American wigeon,6711
1972,45,1390,Green-winged teal,27230
1972,45,1400,Blue-winged teal,420062
1972,45,1420,Northern shoveler,182648
1972,45,1430,Northern pintail,429305
1972,45,1460,Redhead,83960
1972,45,1470,Canvasback,19342
1972,45,1499,Generic scaup,20466
1972,45,1500,Ring-necked duck,315
1972,45,1519,Generic goldeneye,0
1972,45,1530,Bufflehead,0
1972,45,1670,Ruddy duck,40709
1972,45,1720,Canada goose,0
1972,45,2210,American coot,92086
1972,45,9991,Pond,374207
1972,46,1320,Mallard,93619
1972,46,1350,Gadwall,104106
1972,46,1370,American wigeon,5264
1972,46,1390,Green-winged teal,12831
1972,46,1400,Blue-winged teal,240661
1972,46,1420,Northern shoveler,74417
1972,46,1430,Northern pintail,144859
1972,46,1460,Redhead,42948
1972,46,1470,Canvasback,9055
1972,46,1499,Generic scaup,7184
1972,46,1500,Ring-necked duck,359
1972,46,1519,Generic goldeneye,0
1972,46,1530,Bufflehead,0
1972,46,1670,Ruddy duck,14425
1972,46,1720,Canada goose,0
1972,46,2210,American coot,48533
1972,46,9991,Pond,163736
1973,45,1320,Mallard,346294
1973,45,1350,Gadwall,143377
1973,45,1370,American wigeon,9895
1973,45,1390,Green-winged teal,16472
1973,45,1400,Blue-winged teal,407456
1973,45,1420,Northern shoveler,74403
1973,45,1430,Northern pintail,138236
1973,45,1460,Redhead,66828
1973,45,1470,Canvasback,22849
1973,45,1499,Generic scaup,9745
1973,45,1500,Ring-necked duck,0
1973,45,1519,Generic goldeneye,0
1973,45,1530,Bufflehead,494
1973,45,1670,Ruddy duck,32038
1973,45,1720,Canada goose,2845.78
1973,45,2210,American coot,69199
1973,45,9991,Pond,161406
1973,46,1320,Mallard,102757
1973,46,1350,Gadwall,71464
1973,46,1370,American wigeon,573
1973,46,1390,Green-winged teal,4135
1973,46,1400,Blue-winged teal,148707
1973,46,1420,Northern shoveler,31459
1973,46,1430,Northern pintail,61304
1973,46,1460,Redhead,26275
1973,46,1470,Canvasback,3824
1973,46,1499,Generic scaup,8330
1973,46,1500,Ring-necked duck,0
1973,46,1519,Generic goldeneye,0
1973,46,1530,Bufflehead,0
1973,46,1670,Ruddy duck,7755
1973,46,1720,Canada goose,357.16
1973,46,2210,American coot,21159
1973,46,9991,Pond,52055
1974,45,1320,Mallard,297006
1974,45,1350,Gadwall,121120
1974,45,1370,American wigeon,35019
1974,45,1390,Green-winged teal,43925
1974,45,1400,Blue-winged teal,767981
1974,45,1420,Northern shoveler,147406
1974,45,1430,Northern pintail,337591
1974,45,1460,Redhead,69764
1974,45,1470,Canvasback,46956
1974,45,1499,Generic scaup,28383
1974,45,1500,Ring-necked duck,584
1974,45,1519,Generic goldeneye,0
1974,45,1530,Bufflehead,0
1974,45,1670,Ruddy duck,104696
1974,45,1720,Canada goose,0
1974,45,2210,American coot,266297
1974,45,9991,Pond,950890
1974,46,1320,Mallard,85423
1974,46,1350,Gadwall,72377
1974,46,1370,American wigeon,3657
1974,46,1390,Green-winged teal,16545
1974,46,1400,Blue-winged teal,302470
1974,46,1420,Northern shoveler,40077
1974,46,1430,Northern pintail,106362
1974,46,1460,Redhead,40470
1974,46,1470,Canvasback,15110
1974,46,1499,Generic scaup,6866
1974,46,1500,Ring-necked duck,0
1974,46,1519,Generic goldeneye,0
1974,46,1530,Bufflehead,0
1974,46,1670,Ruddy duck,62274
1974,46,1720,Canada goose,875.04
1974,46,2210,American coot,64852
1974,46,9991,Pond,179262
1975,45,1320,Mallard,289900
1975,45,1350,Gadwall,203359
1975,45,1370,American wigeon,39972
1975,45,1390,Green-winged teal,40630
1975,45,1400,Blue-winged teal,643081
1975,45,1420,Northern shoveler,140329
1975,45,1430,Northern pintail,277885
1975,45,1460,Redhead,147541
1975,45,1470,Canvasback,33367
1975,45,1499,Generic scaup,49776
1975,45,1500,Ring-necked duck,1168
1975,45,1519,Generic goldeneye,0
1975,45,1530,Bufflehead,0
1975,45,1670,Ruddy duck,80053
1975,45,1720,Canada goose,2371.49
1975,45,2210,American coot,319088
1975,45,9991,Pond,703416
1975,46,1320,Mallard,90662
1975,46,1350,Gadwall,80276
1975,46,1370,American wigeon,16640
1975,46,1390,Green-winged teal,3896
1975,46,1400,Blue-winged teal,293202
1975,46,1420,Northern shoveler,41797
1975,46,1430,Northern pintail,105383
1975,46,1460,Redhead,66899
1975,46,1470,Canvasback,5919
1975,46,1499,Generic scaup,9800
1975,46,1500,Ring-necked duck,0
1975,46,1519,Generic goldeneye,0
1975,46,1530,Bufflehead,0
1975,46,1670,Ruddy duck,45083
1975,46,1720,Canada goose,336.55
1975,46,2210,American coot,142235
1975,46,9991,Pond,285953
1976,45,1320,Mallard,208317
1976,45,1350,Gadwall,34041
1976,45,1370,American wigeon,30264
1976,45,1390,Green-winged teal,1098
1976,45,1400,Blue-winged teal,157248
1976,45,1420,Northern shoveler,46957
1976,45,1430,Northern pintail,107666
1976,45,1460,Redhead,31998
1976,45,1470,Canvasback,5845
